bath,beds,elevation,price,price_per_sqft,sqft,target,year_built
1.0,2.0,10,999000,999,1000,0,1960
2.0,2.0,9,1350000,628,2150,0,1900
1.0,1.0,9,629000,1258,500,0,1903
1.0,0.0,10,439000,878,500,0,1930
1.0,1.0,10,475000,950,500,0,1920
1.0,1.0,10,975000,1083,900,0,1930
1.0,2.0,12,1895000,1895,1000,0,1921
1.0,1.0,5,999000,1274,784,0,1982
1.0,1.0,3,1249000,1512,826,0,1987
2.0,2.0,5,2059500,1500,1373,0,2008
2.0,2.0,10,2000000,1667,1200,0,1928
2.0,2.0,2,2498000,1983,1260,0,2005
1.0,1.0,10,3105000,2802,1108,0,2016
5.0,4.0,10,13750000,3717,3699,0,2016
2.0,1.0,5,1699000,1133,1500,0,1900
1.0,1.0,6,1195000,1093,1093,0,1900
1.0,1.0,10,450000,900,500,0,1920
1.0,1.0,10,1195000,1093,1093,0,1900
2.0,2.0,10,1185000,1185,1000,0,1900
2.0,2.0,8,3159990,2225,1420,0,2012
2.0,2.0,10,2200000,1073,2050,0,1920
2.0,2.0,10,4895000,3220,1520,0,2016
2.0,2.0,10,6525000,3233,2018,0,2016
2.0,2.0,11,4895000,3220,1520,0,2016
2.0,2.0,12,1675000,1367,1225,0,2006
1.0,1.0,7,1595000,2234,714,0,2015
2.0,2.0,9,3995000,1665,2400,0,1906
1.0,1.0,10,1285000,1716,749,0,2012
2.0,2.0,10,3995000,1665,2400,0,1906
2.0,3.0,10,3580000,1193,3000,0,1880
3.0,3.0,3,6350000,2540,2500,0,2015
3.0,3.0,3,6550000,2620,2500,0,2015
1.0,1.0,5,1849000,1321,1400,0,1920
2.0,2.0,5,3500000,1855,1887,0,1910
1.0,1.0,6,1250000,1736,720,0,2007
2.0,1.0,7,1950000,1500,1300,0,1900
1.0,1.0,5,1750000,1750,1000,0,1963
1.0,0.0,6,775000,1419,546,0,2009
1.0,0.0,9,699999,1400,500,0,1988
1.0,1.0,10,649000,865,750,0,1965
2.0,2.0,10,1849000,1629,1135,0,2009
1.0,1.0,11,615000,820,750,0,1960
2.0,2.0,18,2650000,2137,1240,0,2014
1.0,0.0,18,469000,938,500,0,1932
2.0,2.0,19,799000,940,850,0,1928
3.0,2.0,12,2999000,937,3200,0,1925
1.0,1.0,10,1760000,1853,950,0,1969
2.0,2.0,13,2750000,1987,1384,0,2007
1.0,1.0,14,399000,840,475,0,1910
2.0,2.0,16,1725000,1508,1144,0,2005
1.0,1.0,16,869000,1297,670,0,1988
1.0,1.0,17,1760000,1853,950,0,1969
1.0,1.0,19,1135000,1587,715,0,2005
2.0,2.0,23,3500000,2392,1463,0,1986
1.0,1.0,16,695000,965,720,0,1961
5.0,4.0,20,17750000,3966,4476,0,2012
1.0,1.0,10,1319000,1319,1000,0,1958
2.0,2.0,10,4240000,2435,1741,0,2016
3.0,3.0,10,4875000,2417,2017,0,2016
3.0,3.0,10,14950000,3371,4435,0,1931
3.0,3.0,10,10225000,3400,3007,0,2016
1.0,0.0,11,539000,1111,485,0,1957
1.0,1.0,12,835000,1193,700,0,1963
1.0,0.0,13,349000,873,400,0,1960
2.0,2.0,15,8690000,3990,2178,0,2002
2.0,2.0,15,4240000,2435,1741,0,2016
3.0,3.0,15,4875000,2417,2017,0,2016
3.0,3.0,15,5750000,2618,2196,0,2016
5.0,5.0,15,19000000,3821,4972,0,2016
1.0,0.0,10,850000,1557,546,0,1924
7.0,7.0,10,19500000,4601,4238,0,1994
1.0,0.0,23,485000,1565,310,0,1902
2.0,3.0,23,7350000,3542,2075,0,1999
1.0,1.0,23,1200000,2000,600,0,1969
2.0,2.0,23,4250000,2826,1504,0,2011
1.0,0.0,10,545000,1408,387,0,1900
1.0,1.0,10,535000,1189,450,0,1900
4.0,4.0,21,5500000,1719,3200,0,1923
5.0,4.0,22,12000000,3243,3700,0,1939
2.0,1.0,23,1850000,2205,839,0,2007
1.0,1.0,27,535000,1189,450,0,1900
2.0,2.0,36,1350000,1038,1300,0,1931
1.0,1.0,25,649000,811,800,0,1929
1.0,1.0,32,650000,903,720,0,1907
7.0,8.0,9,2300000,550,4180,0,1910
2.0,2.0,10,1599000,1142,1400,0,1973
2.0,2.0,10,4625000,2729,1695,0,1987
1.0,0.0,11,325000,867,375,0,1910
2.0,2.0,14,1599000,1142,1400,0,1973
2.0,2.0,16,1965000,1477,1330,0,2005
1.0,1.0,35,499999,747,669,0,2011
2.0,2.0,10,904000,601,1503,0,1920
2.0,2.0,10,904000,601,1503,0,1920
1.0,2.0,39,545000,520,1049,0,1939
1.0,2.0,73,365000,521,700,0,1925
1.0,2.0,73,365000,521,700,0,1925
1.0,1.0,8,935000,848,1102,0,1910
1.0,0.0,8,835000,1667,501,0,2013
1.0,1.0,10,935000,848,1102,0,1910
1.0,1.0,10,1420000,1849,768,0,2004
2.0,2.0,10,1635000,1708,957,0,2004
1.0,1.0,11,1550000,1952,794,0,2004
2.0,2.0,10,2175000,1386,1569,0,1999
2.0,2.0,17,1995000,1911,1044,0,1996
1.0,0.5,10,384900,713,540,0,1962
1.0,1.0,10,515000,710,725,0,1962
1.0,0.0,15,307000,930,330,0,1910
3.0,3.0,8,1850000,1367,1353,0,2005
2.0,2.0,24,2900000,1813,1600,0,1987
3.0,3.0,1,2695000,1354,1991,0,2006
3.0,4.0,0,3895000,1711,2277,0,2001
2.0,2.0,24,849000,824,1030,1,1982
2.0,3.0,26,1750000,593,2950,1,1900
1.0,1.0,29,799000,943,847,1,2008
1.5,1.0,3,899000,619,1453,1,1997
2.0,1.0,6,1088000,1002,1086,1,1998
1.0,1.0,10,798000,1038,769,1,1926
1.0,1.0,10,1495000,657,2275,1,1927
4.0,4.0,10,4300000,1295,3321,1,2006
1.0,1.0,12,699000,925,756,1,2008
1.5,1.0,13,849000,753,1127,1,1996
1.0,1.0,14,649000,963,674,1,2011
3.0,3.0,23,1245000,828,1503,1,1907
2.0,2.0,11,1700000,1360,1250,1,1987
2.0,2.0,0,1298000,1120,1159,1,2008
2.0,3.0,3,1995000,1465,1362,1,2006
2.0,2.0,7,1650000,1006,1640,1,1937
1.0,1.0,8,949000,1152,824,1,2010
2.5,3.0,23,1995000,847,2354,1,2008
2.5,3.0,23,1995000,847,2354,1,2008
2.0,2.0,3,895000,804,1113,1,2006
2.0,2.0,5,1299000,894,1453,1,2004
2.5,2.0,5,850000,748,1136,1,2000
2.5,3.0,5,2850000,1373,2075,1,2013
2.0,2.0,6,950000,755,1258,1,2000
2.0,2.0,7,1600000,1364,1173,1,2002
2.0,3.0,41,1399000,773,1809,1,1892
2.0,2.0,53,879000,925,950,1,1912
1.0,1.0,41,740200,748,989,1,1920
2.0,2.0,54,958000,1047,915,1,2005
2.0,2.0,56,1200000,922,1302,1,1909
3.0,3.0,62,1575000,705,2233,1,1993
2.0,2.0,68,1199000,1090,1100,1,1964
1.0,1.0,69,529000,669,791,1,1966
2.0,3.0,77,1295000,773,1675,1,1926
4.0,4.0,87,1800000,767,2347,1,1948
1.0,1.0,7,795000,803,990,1,2000
2.0,2.0,7,779000,964,808,1,2007
1.5,1.0,9,378551,379,1000,1,2000
2.3,4.0,13,1398000,561,2492,1,1904
1.3,2.0,14,1097000,735,1493,1,1904
1.0,1.0,20,670000,1321,507,1,2014
3.0,3.0,38,1488888,709,2100,1,1977
2.0,3.0,55,1389000,898,1546,1,1908
2.0,3.0,55,1389000,898,1546,1,1908
3.5,3.0,75,1799000,735,2449,1,1900
2.0,3.0,83,1250000,862,1450,1,1924
2.0,3.0,34,688000,477,1441,1,1942
2.0,3.0,48,699000,559,1250,1,1964
3.0,6.0,52,1600000,623,2567,1,1926
2.0,2.0,54,875000,515,1700,1,1909
1.5,2.0,56,749000,556,1348,1,1949
